V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
IGHG3-secreted,IL6,IRF8,RGS1,FCGR3A,LYZ,IGHA1-secreted,IGKC,TYMS,IGLC3,CCL4,PTGDS,PTGDS
IGHM-membrane,FCGR3A,IL1B,CXCL3,CXCL3,C1QB,EGR1,EGR1,PCNA,EGR1,CCL3,TCL1A,TYMS
CXCR4,FCER1A,CXCL8,CCL4,CCL4,CXCL8,IGLC3,IGHA1-secreted,PTGDS,IGKC,TYMS,DUSP1,TNF
IGHG2-secreted,CCL4L2,IER3,EGR1,CXCL2,TRBC2,IGHG2-secreted,IGHG2-secreted,CCL4,KLRB1,TNF,IGLC3,PCNA
SELL,CLEC10A,VSIG4,CXCL2,CCL5,IL1B,CD1C,IGHG1-secreted,KIAA0101,FCER1A,CCL4L2,JUNB,CCL4
CD3E,TRBC2,S100A9,CLEC10A,NKG7,CCL3L3,GAPDH,IL6,GAPDH,GNLY,PTGDS,IRF4,CD3D
IGKC,CXCL1,CD207,IL1B,CCL4L2,C1QA,IGHG1-secreted,S100A10,UBE2C,GZMK,IFNG,FOS.1,XCL2
IGHM-secreted,CCL4,IGKC,HLA-DQA1,CXCL1,CCL3,IL6,CD1C,GZMK,NKG7,XCL2,CD83,CCL3
RGS1,HLA-DPA1,RGS1,CCL4L2,KLRB1,CXCL2,DUSP2,RGS1,RGS1,IL1B,PCNA,CXCR3,ZNF683
FOSB,RGS1,CCL3L3,CXCL8,EGR1,CCL4,LGALS1,JCHAIN,XCL2,CPA3,CCL3L3,JUN,IL32
TRAC,C1QA,TRBC2,CXCL1,F13A1,EGR1,JCHAIN,LGALS1,TOP2A,CCL5,GZMK,CXCR4,IFNG
LGALS1,EGR1,CXCL2,HLA-DPA1,HLA-DPA1,IL32,CXCL8,DUSP2,FCER1G,CD34,KIAA0101,CD63,FOS.1
FOS.1,CCL20,EGR1,IL6,IL1B,CCL5,RGS1,ID3,CCL3,IL6,TOP2A,FOSB,RGS1
CTSW,IGLC3,IGLC3,CCL20,CXCL8,TNF,HOPX,GAPDH,LGALS1,IGHG1-secreted,SELL,ZFP36,SELL
ITGB2,IL32,CD8B,HLA-DPB1,IL1RN,IGKC,CD27,ZFP36,MCM2,RGS1,AURKB,CD52,MCM2
IGHG1-secreted,GNLY,CCL4L2,TNF,IFITM3,HLA-DQB1,EGR3,IGHE-secreted,FOXP3,DUSP2,TRAC,S100A10,CD3E
TRIB2,HLA-DPB1,VCAN,FCER1A,IER3,TRAC,S100A10,TRAC,FOS.1,MGST1,CD8B,ITGA4,CD8A
BTG1,CCL5,IL32,IGLC3,CST7,HLA-DRA,CD3E,CXCL2,CAPG,IGHA1-secreted,IL7R,HLA-DQB1,ZFP36
IGHG4-secreted,HLA-DQB1,CD14,FCGR3A,HLA-DPB1,RGS1,CCL3,ITGAX,AURKB,GAPDH,LGALS1,KLF2.1,KLRC2
MS4A1,TNF,CXCL3,HLA-DRA,RGS1,S100A9,IGHM-secreted,IGLC3,CD27,HOPX,LTA,XBP1,IL1B
CD69,TRAC,JCHAIN,MX1,C1QA,MS4A1,KIAA0101,TCL1A,HLA-DRA,JCHAIN,IL32,ITGB2,IER3
LEF1,CD1C,FCN1,LIPA,TNF,FCN1,IGKC,TNFRSF1B,SELL,IGHM-secreted,UBE2C,RGS1,CCL5
LILRB4,C1QB,TRAC,DUSP2,HLA-DRA,CXCL10,ZFP36,IL1B,KLRB1,IL32,BIRC5,PIK3IP1,CXCL8
JUNB,CSF2,CD1C,CCL3L3,GZMK,CD79A,CXCL3,IGHG1-membrane,CTLA4,TNF,DUSP2,CD3D,CD52
TYMS,CCL3L3,IL7R,CCL3,DUSP6,HLA-DPB1,CCL22,FOS.1,BIRC5,IGHG2-secreted,MCM4,CD5,GNLY
PCNA,IFITM3,IGHM-secreted,HLA-DQB1,HOPX,IGHM-membrane,CCR7,IGHM-secreted,CCL4L2,LGALS1,CAPG,LY86,EGR1
PIK3IP1,HLA-DRA,CCL4,JUN,EGR3,KLRB1,FOS.1,CD70,TRDC,CXCL8,GZMH,CD7,CCL4L2
CD37,CXCL10,EGR3,IGKC,CCL3,CD14,LGALS3,TNFSF10,TNF,CCL4,IER3,CD2.1,KLRC1
MYC,CD8A,PCNA,CCL2,CCL3L3,CD3E,IGHE-secreted,CD96,CD8A,ITGAX,CD8A,CDH1,LGALS1
CD27,MS4A1,CD3E,IFITM3,IL6,IL6,TOX,TOP2A,CD74,GZMA,RGS1,CXCL2,CXCL3
